"","gene_id","control1","control2","treat1","treat2"
"555","NM_000586",0,0,0,0
"556","NM_000587",0,1,1,1
"557","NM_000588",0,0,1,0
"558","NM_000589",0,0,0,0
"559","NM_000590",0,0,0,0
"560","NM_000591",0,0,0,0
"561","NM_000593",3,2,0,4
"562","NM_000594",1,0,4,0
"563","NM_000595",0,0,0,0
"564","NM_000596",0,0,0,1
"565","NM_000597",44,55,101,64
"566","NM_000598",0,0,0,0
"567","NM_000599",30566,28339,53707,60061
"568","NM_000600",117,169,335,287
"569","NM_000601",0,0,0,0
"570","NM_000602",3744,4015,8223,9700
"571","NM_000603",3,4,0,4
"572","NM_000605",0,0,1,0
"573","NM_000606",1,1,1,3
"574","NM_000607",0,0,0,0
"575","NM_000608",2,2,0,0
"576","NM_000609",120,99,7,7
"577","NM_000610",6,3,4,8
"578","NM_000611",0,0,0,0
"579","NM_000612",9,15,7,6
"580","NM_000613",9,3,4,2
"581","NM_000614",0,0,0,0
"582","NM_000615",0,0,0,0
"583","NM_000616",0,1,0,0
"584","NM_000617",0,0,0,0
"585","NM_000618",0,0,0,0
"586","NM_000619",0,0,0,0
"587","NM_000620",0,0,0,0
"588","NM_000621",0,0,1,0
"589","NM_000623",776,580,1478,1280
"590","NM_000624",5,5,2,0
"591","NM_000625",0,1,0,0
"592","NM_000626",0,0,0,0
"593","NM_000627",0,0,0,0
"594","NM_000628",600,589,666,502
"595","NM_000629",568,523,837,821
"596","NM_000631",0,0,0,0
"597","NM_000632",0,0,0,0
"598","NM_000633",3,7,7,2
"599","NM_000634",0,0,2,0
"600","NM_000635",0,2,0,0
"601","NM_000636",574,656,1982,1642
"602","NM_000637",0,0,0,0
"603","NM_000638",18,24,14,8
"604","NM_000639",0,0,0,0
"605","NM_000640",7,1,80,84
"606","NM_000641",3,12,16,10
"607","NM_000642",10,17,14,6
"608","NM_000643",0,0,0,0
"609","NM_000644",0,0,0,0
"610","NM_000645",0,0,0,0
"611","NM_000646",0,0,1,0
"612","NM_000651",0,0,0,0
"613","NM_000655",0,0,0,0
"614","NM_000657",0,0,1,0
"615","NM_000660",106,100,92,91
"616","NM_000661",0,0,0,0
"617","NM_000662",0,0,0,0
"618","NM_000663",0,0,0,0
"619","NM_000665",0,0,0,0
"620","NM_000666",0,0,0,0
"621","NM_000667",12,20,12,11
"622","NM_000668",0,0,0,0
"623","NM_000669",0,0,0,0
"624","NM_000670",0,0,0,0
"625","NM_000671",2202,2506,1779,1453
"626","NM_000672",2,0,0,1
"627","NM_000673",0,0,0,0
"628","NM_000674",0,0,0,0
"629","NM_000675",0,0,0,0
"630","NM_000676",73,55,69,65
"631","NM_000677",0,0,0,0
"632","NM_000678",7,12,9,7
"633","NM_000679",9,19,8,7
"634","NM_000680",0,0,1,0
"635","NM_000681",23,46,13,10
"636","NM_000682",0,0,1,0
"637","NM_000683",2,0,10,5
"638","NM_000684",1,1,0,1
"639","NM_000685",0,0,0,0
"640","NM_000686",0,0,0,1
"641","NM_000687",62,67,53,59
"642","NM_000688",0,0,0,0
"643","NM_000689",4513,6493,2108,1689
"644","NM_000690",16,9,17,6
"645","NM_000691",0,0,0,0
